method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),start_specs
IF-L#,RandomWp100,RandomWp100,adg,321,1771,202825,1761251,202007,1822906,0,20,33,40,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,392012,3105112,6,40,21,60,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,251964,2956477,0,23,34,43,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,589,1752,76401,1528619,67143,823197,8,10,24,29,None
IF-AL#,RandomWord1000,RandomWord1000,adg,341,1142,78494,1571349,53639,665902,15,7,22,25,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,649,2118,69498,1390361,77368,1028347,8,23,8,43,None
IF-L#,RandomWord1000,RandomWord1000,adg,332,1336,60242,1204914,97701,1330942,9,36,9,56,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,177364,2365229,2,56,10,76,None
AL#,WpK,WpK,None,0,0,0,0,26034077,227605291,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20796648,181952097,5245170,45864781,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20796730,181952286,5246325,45879521,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20776904,181777525,5304979,46428683,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20860072,182421152,5308491,46463204,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26510348,232216863,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,504117,4232019,0,15,69,35,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,595,1741,246064,2228801,149798,1334658,0,8,61,28,None
IF-AL#,RandomWp100,RandomWp100,adg,278,1423,248300,2250537,158539,1423288,0,11,67,31,None
IF-L#,RandomWp100,RandomWp100,sep_seq,630,2083,192193,1667713,221466,1972831,0,29,32,49,None
IF-L#,RandomWp100,RandomWp100,adg,325,1415,219413,1958596,175200,1539699,0,16,36,36,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,371515,2862243,8,31,23,51,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,256115,3005501,0,27,43,47,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,524,1560,78766,1577076,67986,833618,6,9,31,29,None
IF-AL#,RandomWord1000,RandomWord1000,adg,341,1208,76491,1527431,69178,848001,12,13,16,31,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,624,1752,68128,1364352,77948,1050094,12,25,11,44,None
IF-L#,RandomWord1000,RandomWord1000,adg,329,1319,64629,1292729,86551,1146169,12,28,11,47,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,177302,2359984,2,57,10,77,None
AL#,WpK,WpK,None,0,0,0,0,26043769,227681731,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20794760,181925549,5245581,45864875,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20765058,181607502,5237977,45783504,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20783404,181859217,5316203,46578306,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20877712,182644372,5329690,46710202,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26523896,232397350,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,511654,4354333,0,14,72,34,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,646,2396,250721,2290001,158505,1411570,0,12,62,32,None
IF-AL#,RandomWp100,RandomWp100,adg,298,1222,238721,2135464,153095,1368786,0,9,54,29,None
IF-L#,RandomWp100,RandomWp100,sep_seq,611,1798,212698,1871752,179449,1601208,1,18,32,38,None
IF-L#,RandomWp100,RandomWp100,adg,312,1541,217552,1936800,189874,1726497,1,19,29,39,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,383945,3023796,8,39,20,59,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,252562,2970782,0,31,34,51,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,576,1504,76253,1526701,72972,899549,9,14,18,33,None
IF-AL#,RandomWord1000,RandomWord1000,adg,323,1066,79365,1584772,52346,645996,15,7,25,24,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,620,1843,68336,1367699,75598,1020318,13,24,8,43,None
IF-L#,RandomWord1000,RandomWord1000,adg,342,1335,65408,1306204,83375,1125875,10,27,8,47,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,176545,2364333,2,58,8,78,None
AL#,WpK,WpK,None,0,0,0,0,26030865,227538089,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20797436,181961729,5245383,45863544,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20765058,181607502,5237788,45780672,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20751619,181504942,5297563,46371870,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20897608,182787244,5338496,46778970,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26504278,232111307,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,505017,4255653,0,15,74,35,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,620,1923,235525,2115892,179634,1626583,0,16,53,36,None
IF-AL#,RandomWp100,RandomWp100,adg,258,1399,239967,2180745,177660,1591617,0,15,71,35,None
IF-L#,RandomWp100,RandomWp100,sep_seq,623,1986,215663,1917570,197775,1771890,0,22,40,42,None
IF-L#,RandomWp100,RandomWp100,adg,298,1630,196541,1687704,206049,1847770,1,22,40,42,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,390662,3064687,6,37,25,57,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,245650,2905328,0,20,36,40,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,591,1730,73947,1478880,72506,881392,9,11,28,31,None
IF-AL#,RandomWord1000,RandomWord1000,adg,259,1128,77703,1552892,65478,810600,10,10,19,29,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,652,1996,67735,1358153,84226,1128254,12,27,8,47,None
IF-L#,RandomWord1000,RandomWord1000,adg,351,1361,65980,1320520,85195,1145974,10,28,13,48,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,178271,2370289,2,59,7,79,None
AL#,WpK,WpK,None,0,0,0,0,26025471,227511789,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20764188,181597681,5237384,45780980,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20738874,181373638,5227571,45702816,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20785160,181873793,5311699,46510268,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20878872,182650432,5322664,46603789,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26482478,231781247,0,0,100,20,None
AL#,RandomWp100,RandomWp100,None,0,0,0,0,496061,4132178,0,10,57,30,None
IF-AL#,RandomWp100,RandomWp100,sep_seq,584,1695,242649,2187305,158468,1422611,0,10,55,30,None
IF-AL#,RandomWp100,RandomWp100,adg,220,1293,231178,2053493,177634,1612309,0,13,62,33,None
IF-L#,RandomWp100,RandomWp100,sep_seq,657,1986,206051,1804399,204104,1835482,0,23,40,43,None
IF-L#,RandomWp100,RandomWp100,adg,252,1327,212367,1856177,177157,1577074,0,17,34,37,None
L#,RandomWp100,RandomWp100,None,0,0,0,0,425303,3464655,5,46,24,66,None
AL#,RandomWord1000,RandomWord1000,None,0,0,0,0,250169,2944651,0,24,38,44,None
IF-AL#,RandomWord1000,RandomWord1000,sep_seq,553,1598,77186,1544139,58899,717353,15,9,23,26,None
IF-AL#,RandomWord1000,RandomWord1000,adg,304,1106,77224,1545069,62290,768004,7,9,17,28,None
IF-L#,RandomWord1000,RandomWord1000,sep_seq,614,1719,68577,1373006,72761,977102,12,22,8,41,None
IF-L#,RandomWord1000,RandomWord1000,adg,347,1423,68789,1375824,79151,1070953,10,26,9,45,None
L#,RandomWord1000,RandomWord1000,None,0,0,0,0,175145,2345407,4,53,6,73,None
AL#,WpK,WpK,None,0,0,0,0,26033652,227604064,0,0,100,20,None
IF-AL#,WpK,WpK,sep_seq,564,1522,20764976,181607313,5238122,45785133,0,0,100,20,None
IF-AL#,WpK,WpK,adg,304,1052,20773222,181754602,5230714,45744219,0,0,100,20,None
IF-L#,WpK,WpK,sep_seq,564,1522,20754095,181535778,5306067,46485930,0,0,100,20,None
IF-L#,WpK,WpK,adg,304,1052,20869976,182542616,5304662,46417527,0,0,100,20,None
L#,WpK,WpK,None,0,0,0,0,26482686,231814281,0,0,100,20,None
